IDSource	IDTarget
architecture	environmental-aesthetics
architecture	goodman-aesthetics
architecture	ingarden
architecture	schopenhauer-aesthetics
architecture	wolff-christian
archytas	aristotle
archytas	philolaus
archytas	plato
archytas	pythagoras
archytas	pythagoreanism
arendt	aristotle
arendt	benjamin
arendt	existentialism
arendt	heidegger
arendt	hobbes
arendt	husserl
arendt	jaspers
arendt	kant
arendt	machiavelli
arendt	phenomenology
arendt	plato
argument	abduction
argument	analogy-medieval
argument	aristotle
argument	aristotle-logic
argument	aristotle-rhetoric
argument	bayes-theorem
argument	chinese-logic-language
argument	chinese-room
argument	critical-thinking
argument	curry-paradox
argument	democracy
argument	embodied-cognition
argument	emotion
argument	epistemology-virtue
argument	ethics-virtue
argument	fallacies
argument	feminism-argumentation
argument	feminism-epistemology
argument	feminism-political
argument	francis-bacon
argument	habermas
argument	hume
argument	implicit-bias
argument	induction-problem
argument	legal-reas-prec
argument	liar-paradox
argument	logic-inductive
argument	logic-informal
argument	logic-nonmonotonic
argument	logic-paraconsistent
argument	logic-relevance
argument	logical-consequence
argument	mohism
argument	mohist-canons
argument	peirce
argument	reasoning-analogy
argument	reasoning-defeasible
argument	scientific-knowledge-social
argument	spinoza
argument	stebbing
argument	thought-experiment
aristotelianism-renaissance	albert-saxony
aristotelianism-renaissance	alexander-aphrodisias
aristotelianism-renaissance	alyngton
aristotelianism-renaissance	aristotle
aristotelianism-renaissance	aristotle-commentators
aristotelianism-renaissance	bessarion
aristotelianism-renaissance	byzantine-philosophy
aristotelianism-renaissance	doxography-ancient
aristotelianism-renaissance	francis-bacon
aristotelianism-renaissance	galileo
aristotelianism-renaissance	heytesbury
aristotelianism-renaissance	lefevre-etaples
aristotelianism-renaissance	logic-informal
aristotelianism-renaissance	marsilius-inghen
aristotelianism-renaissance	medieval-literary
aristotelianism-renaissance	natphil-ren
aristotelianism-renaissance	patrizi
aristotelianism-renaissance	paul-venice
aristotelianism-renaissance	pomponazzi
aristotelianism-renaissance	zabarella
aristotle	arabic-islamic-influence
aristotle	aristotle-aesthetics
aristotle	aristotle-biology
aristotle	aristotle-categories
aristotle	aristotle-causality
aristotle	aristotle-commentators
aristotle	aristotle-ethics
aristotle	aristotle-logic
aristotle	aristotle-mathematics
aristotle	aristotle-metaphysics
aristotle	aristotle-natphil
aristotle	aristotle-noncontradiction
aristotle	aristotle-politics
aristotle	aristotle-psychology
aristotle	aristotle-rhetoric
aristotle	essential-accidental
aristotle	form-matter
aristotle	happiness
aristotle	hegel-dialectics
aristotle	substance
aristotle-aesthetics	plato
aristotle-biology	ancient-soul
aristotle-biology	aristotle
aristotle-biology	aristotle-causality
aristotle-biology	aristotle-logic
aristotle-biology	aristotle-metaphysics
aristotle-categories	aristotle
aristotle-categories	aristotle-metaphysics
aristotle-categories	substance
aristotle-causality	aristotle-logic
aristotle-causality	aristotle-metaphysics
aristotle-causality	aristotle-psychology
aristotle-causality	causation-medieval
aristotle-causality	episteme-techne
aristotle-commentators	alexander-aphrodisias
aristotle-commentators	ammonius
aristotle-commentators	aristotelianism-renaissance
aristotle-commentators	aristotle
aristotle-commentators	aristotle-categories
aristotle-commentators	boethius
aristotle-commentators	david
aristotle-commentators	elias
aristotle-commentators	neoplatonism
aristotle-commentators	olympiodorus
aristotle-commentators	philoponus
aristotle-commentators	plato
aristotle-commentators	plotinus
aristotle-commentators	porphyry
aristotle-commentators	simplicius
aristotle-ethics	aristotle
aristotle-ethics	egoism
aristotle-ethics	ethics-virtue
